date,election_type,registration,total_turnout,night_of_count,eday_turnout,vbm_turnout,registration_source,total_turnout_source,night_of_count_source,eday_turnout_source,vbm_turnout_source
1849-11-13,General,,3119,,,,,"Official state canvass as printed, Alta 1849-12-31",,,
1850-10-07,General,,3440,,,,,"Official county canvass, Alta 1850-10-09 (top-contest sum)",,,
1851-09-03,Gubernatorial,,5774,1129,,,,"Official county canvass, Alta 1851-09-15 (top-contest sum)","Daily Alta California 1851-09-04 'ELECTION RETURNS.' (CDNC DAC18510904.2.6): 'up to two o'clock this morning, but little over a hundred votes had been counted in each ward' (7 city wards, ~700) + comp [partial or contest-sum floor - a lower bound]",,
1852-11-02,Presidential,,8692,6222,,,,"Official county canvass, Alta 1852-11-11 (top-contest sum)","Daily Alta California 1852-11-03 'The Latest Election Returns.' (DAC18521103.2.8), 'as far as ascertained up to 4 A.M. this morning': W2 1,216, W4 792 complete, W5 1,048, W6 984, W7 784, W8 165 straig",,
1853-09-07,Gubernatorial,,10955,2670,,,,Official state canvass via Whig Almanac 1854 p.64 (top-contest sum),"Daily Alta California 1853-09-08 'Election Returns' (DAC18530908.2.15), per-ward clocked counts: W2 43 at 12, W3 618 at 1 AM, W4 ~41, W5 652 at 2 AM, W6 610 at 1:30, W7 706 at 1 AM",,
1854-09-06,General,,9949,2717,,,,"SoS certified canvass via Sacramento Daily Union 1854-11-07, single-seat contest floor",Daily Alta California 1854-09-07 'ELECTION RETURNS.' (DAC18540907.2.5): 'votes counted up to 12 o'clock last night ... in several Wards there were no votes counted at all. The ballot boxes were sealed [partial or contest-sum floor - a lower bound],,
1855-09-05,Gubernatorial,,12351,2726,,,,Official state canvass via Tribune Almanac 1856 p.57 (top-contest sum),Daily Alta California 1855-09-06 'Further from the different Wards.' (DAC18550906.2.9): W1 100 straight Dem then sealed [partial or contest-sum floor - a lower bound],,
1856-11-04,Presidential + Municipal,,12019,3947,,,,"Official state canvass via Tribune Almanac (operator ruling over county variant 11,904)","Sacramento Daily Union 1856-11-05 (SDU18561105.2.8), SF telegraph dispatch 'San Francisco, Nov. 5 [partial or contest-sum floor - a lower bound]",,
1857-09-02,Gubernatorial,,10326,5866,,,,"Official canvass, almanac + Alta agreeing (top-contest sum)","Daily Alta California 1857-09-03 'RETURNS OF THE ELECTION...' (DAC18570903.2.15), 'Returns from the City Polls up to Midnight' straight-ticket table OPERATOR-TRANSCRIBED 2026-07-09: Dem 2,862 + Rep 2,",,
1858-09-01,General,,8584,1655,,,,"Official county canvass, Alta 1858-09-16 (top-contest sum)","Daily Alta California 1858-09-02 'CITY ITEMS' 1 O'CLOCK A.M. section (DAC18580902.2.20): D1 100, D2 state ticket Currey 564 + Baldwin 400 = 964 [partial or contest-sum floor - a lower bound]",,
1859-09-07,Gubernatorial + Municipal,,10889,3068,,,,"Daily Alta 1859-09-08 polled statement 10,889 (news-derived final)","Daily Alta California 1859-09-08 'CITY ITEMS. / The Election.' (DAC18590908.2.17): midnight per-district straight-ticket counts, sum 3,068 with D1 = 374 [partial or contest-sum floor - a lower bound]",,
1860-11-06,Presidential,,14419,9224,,,,"Daily Alta 1860-11-07 votes-cast statement 14,415 (news-derived final)","Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1860-11-07 'Returns at Midnight': Lincoln 4,434 / Douglas 2,562 / Breckinridge 1,666 / Bell 562 = 9,224 counted",,
1861-05-21,Municipal,,11507,6423,,,,Daily Alta 1861-05-23 complete total (news-derived final),Daily Alta California 1861-05-22 'Election Returns at Midnight.' (DAC18610522.2.3): 10 of 12 districts counted or complete by 2:30 AM,,
1861-09-04,Gubernatorial,,15294,15053,,,,"Daily Alta 1861-09-05 aggregate-vote statement 15,294 (news-derived final)","Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1861-09-05: 'Latest -- 2 1/2 A.M. GUBERNATORIAL VOTE OF THE CITY. Stanford 10,700 / Conness 3,121 / McConnell 1, [partial or contest-sum floor - a lower bound]",,
1862-09-03,General,,8813,6172,,,,Daily Alta 1862-09-06 contest sum,"Daily Alta California 1862-09-04 'The Election. / The Returns.' (DAC18620904.2.3): 'At midnight, canvassers in most of the Districts had not finished counting the straight tickets' [partial or contest-sum floor - a lower bound]",,
1863-05-19,Municipal,,11417,6225,,,,"Daily Alta total-cast statement 11,417 (news-derived final)","Daily Alta California 1863-05-20 'CITY ELECTION RETURNS 1863' (DAC18630520.2.6, status .2.8): Mayor contest floor Coon 3,595 + Holland 2,630 = 6,225 [partial or contest-sum floor - a lower bound]",,
1863-09-02,Gubernatorial,,14866,8900,,,,"Alta 1863-09-03 polled statement, operator-read (official contest sum 14,723 corroborates)","Daily Alta California 1863-09-03 'Returns up to Two o'Clock.' (DAC18630903.2.4): Low/Downey counted per district 'as far as ascertainable ... at two o'clock this morning', sum ~8,900 APPROXIMATE FLOOR [partial or contest-sum floor - a lower bound]",,
1864-05-17,Municipal,,10847,7230,,,,"Municipal Reports official: 10,847","Daily Alta California 1864-05-18 'Election Returns, May Seventeenth' (DAC18640518.2.4/.2.5): Sheriff contest floor Davis 5,377 + Weller 1,853 = 7,230 [partial or contest-sum floor - a lower bound]",,
1864-11-08,Presidential,,21030,21024,,,,Daily Alta 1864-11-09 complete unofficial count (news-derived final),"Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1864-11-09 p2: 'The total vote was 21,024. Of these the Unionists polled 12,667, and the McClellanites 8,357. Th",,
1865-05-16,Municipal,,14196,8977,,,,"Daily Alta Sept 1865 retrospective citywide ballots 14,196 (news-derived final)","Daily Alta California 1865-05-17 'City Election, May 16' (DAC18650517.2.6/.2.5): Sheriff contest floor Davis 5,010 + Bluxome 3,967 = 8,977 [partial or contest-sum floor - a lower bound]",,
1865-09-06,General,,13354,8264,,,,Daily Alta 1865-09-07 printed citywide total (news-derived final),"Daily Alta California 1865-09-07 'ELECTION RETURNS. SEPTEMBER 6, 1865.' (DAC18650907.2.3/.2.4): table's blank columns operator-identified 2026-07-09 as D6/D8/D9/D10 = exactly the clocked 2:30 AM parti [partial or contest-sum floor - a lower bound]",,
1866-09-05,Municipal,,13371,10749,,,,"Municipal Reports official: 13,371","Daily Alta California 1866-09-06 'Election Returns. September 5, 1866' (DAC18660906.2.12/.2.2): Chief of Police contest floor wards 2-12, Crowley 5,917 + White 4,832 = 10,749 [partial or contest-sum floor - a lower bound]",,
1867-09-04,Gubernatorial + Municipal,,17472,7324,,,,"Municipal Reports official: 17,472",Daily Alta California 1867-09-05 'Local Intelligence' (DAC18670905.2.3): 'Up to 2 A.M. we are able to collect only the following positive returns' [partial or contest-sum floor - a lower bound],,
1867-10-16,General,,13871,13771,,,,"Municipal Reports official 13,871 (operator ward-sum audit resolved the Alta footing error)","(""Daily Alta California via CDNC, 1867-10-17 complete overnight ward table, RESOLVED BY OPERATOR WARD-SUM AUDIT 2026-07-08: the Alta mis-footed Currey's column by +200 [partial or contest-sum floor - a lower bound]",,
1868-11-03,Presidential,,25774,25655,,,,CA SoS Abstract Nov 3 1868,"SF Daily Alta California (NewsBank image scan via SFPL), 1868-11-04 p3 'City and County Election Returns' — COMPLETE ward×precinct canvass",,
1869-09-01,Municipal,,21693,4624,,,,"Municipal Reports FY1875-76 p.752 cumulative table: 21,693","Daily Alta California via CDNC, 1869-09-02 ward-by-ward returns (operator hand-read 2026-07-08): straight-ticket ballots counted by press [partial or contest-sum floor - a lower bound]",,
1870-09-07,General,,19944,9746,,,,"Municipal Reports official: 19,944","Daily Alta California 1870-09-08 returns table (DAC18700908.2.5, notes .2.7/.2.8), press stamp 'at this hour (3:30 A.M.)', snapshot ~1:30 AM: FULL TABLE OPERATOR-TRANSCRIBED 2026-07-09 [partial or contest-sum floor - a lower bound]",,
1871-09-06,Gubernatorial + Municipal,,25094,8535,,,,Municipal Reports FY1870-71 p.527 official (operator ruling over two variants),"Daily Alta California 1871-09-07 'TRIUMPHANT VICTORY.' (DAC18710907.2.7/.2.2), per-ward count states stamped 1:48-3:30 AM: OPERATOR-EXTRACTED 2026-07-09 floor = straights counted [partial or contest-sum floor - a lower bound]",,
1871-10-18,General,,16177,16133,,,,"Daily Alta 1871-10-19 polled total 16,175 (news-derived final)","Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1871-10-19: 'At three o'clock this morning the returns of all the Wards were completed' [partial or contest-sum floor - a lower bound]",,
1872-11-05,Presidential,,23029,22974,,,,"CA SoS Statement Nov 5 1872 band 22,996-23,150 (data/pre1892_certified.md, upper bound)","Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1872-11-06 'VOTE OF SAN FRANCISCO--COMPLETE': Grant 11,769 + Greeley 11,182 + O'Conor 23 = 22,974 counted overni [partial or contest-sum floor - a lower bound]",,
1873-09-03,General + Municipal,,26198,2393,,,,"Official declaration, Municipal Reports FY1872-73 p.555: 26,198","Daily Alta California via CDNC, 1873-09-04 'LATEST. Returns Up to 2 O'clock A.M.' per-precinct fragments (operator hand-read 2026-07-08, all listed precincts): conservative sum of stated 'votes counte [partial or contest-sum floor - a lower bound]",,
1873-10-15,Special,,15594,15594,,,,"Municipal Reports official: 15,594","Daily Alta California 1873-10-16 'THE JUDICIAL ELECTION.' (DAC18731016.2.14/.2.15/.2.10): 'Complete Returns from the City' precinct table from official returns, boxes 'under lock and key at twenty min",,
1875-09-01,Gubernatorial + Municipal,,25653,25534,,,,CA State Archives Abstract Sept 1 1875,"SF Daily Evening Post (NewsBank image scan via SFPL), 1875-09-02 p2 'THE ELECTION' (Second Edition 6:30 PM) — COMPLETE precinct-by-precinct SF Governor returns, all 12 wards",,
1875-10-20,General,,17050,16635,,,,"Daily Alta 1875-10-21 printed Total Vote 17,044 (news-derived final)","Daily Alta California via CDNC (agent recovery, operator-authorized ingest 2026-07-08), 1875-10-21 'A GRAND RESULT': Carr 9,166 + Fitzgerald 7,469 = 16,635 (majority 1,697 checks), 'Total Vote 17,044' [partial or contest-sum floor - a lower bound]",,
1876-11-07,Presidential,,41646,41571,,,,CA SoS Statement Nov 7 1876,"SF Daily Evening Post (NewsBank image scan via SFPL), 1876-11-08 p3 'THE CITY' First Edition — COMPLETE returns all 12 wards: Hayes 21,133 + Tilden 20,687 = 41,820",,
1877-09-05,General + Municipal,,33663,5965,,,,"Official canvass, Municipal Reports FY1876-77 p.1055 (Res. 11,206): 33,663","Daily Alta California via CDNC, 1877-09-06 'Returns' at 2:45 A.M. (operator hand-read 2026-07-08): the full six-candidate Mayor field Bryant 1,141 + Ashbury 935 + Kaplan 910 + Reynolds 930 + Agnew 995 [partial or contest-sum floor - a lower bound]",,
1877-10-17,Special,,22942,23332,,,,"Official canvass Res. 11,450, Municipal Reports FY1876-77 p.1057: 22,942",Daily Alta California 1877-10-18 'THE JUDICIAL ELECTION' (DAC18771018.2.14): 'The Complete Vote From All the Wards',,
1878-06-19,Special,,27098,6000,,,,"Registrar cumulative table official total 27,098 (data/sf_turnout_pre1899.csv)","Daily Alta California 1878-06-20 'THE ELECTION.' (DAC18780620.2.16, corroboration .2.4): 'About 27,000 Votes Polled. Only a Small Number Counted ... Up to the hour of going to press, about 6,000 votes [partial or contest-sum floor - a lower bound]",,
