county_slug,election_date,election_type,ballots_mail,ballots_polling,ballots_total,vbm_share_pct,source_url,source_page_or_table,note
san_francisco,2012-11-06,general,193196,171679,364875,52.95,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
lake,2012-11-06,general,14698,8987,23685,62.06,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
del_norte,2012-11-06,general,5259,3620,8879,59.23,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
mendocino,2012-11-06,general,29034,7046,36080,80.47,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
tehama,2012-11-06,general,15229,8032,23261,65.47,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
colusa,2012-11-06,general,3400,2692,6092,55.81,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
fresno,2012-11-06,general,142109,119543,261652,54.31,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
los_angeles,2012-11-06,general,975828,2260876,3236704,30.15,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
madera,2012-11-06,general,24667,15658,40325,61.17,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
napa,2012-11-06,general,51421,6251,57672,89.16,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
nevada,2012-11-06,general,38375,13798,52173,73.55,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
orange,2012-11-06,general,581186,552018,1133204,51.29,https://elections.cdn.sos.ca.gov/sov/2012-general/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
