election_date,election_name,report_seq,snapshot,report_datetime,ballots_counted_total,ballots_vbm,ballots_election_day,registered_voters,parser,datetime_source,source_url
2012-11-06,Consolidated General Election,1,wb20121112020016,2012-11-11T16:28:21,325298,174755,150543,502841,archival,archival,https://wayback.archive-it.org/all/20121112020016/http://sfelections.org/results/20121106/
2012-11-06,Consolidated General Election,2,final,2012-12-04T16:00:00,364875,193196,171679,502841,archival,archival,https://www.sfelections.org/results/20121106/
2015-11-03,Consolidated Municipal Election,1,20151103_1,2015-11-03T00:00:00,65923,65923,0,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151103_1/summary.txt
2015-11-03,Consolidated Municipal Election,2,20151103_2,2015-11-03T00:00:00,90793,65923,24870,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151103_2/summary.txt
2015-11-03,Consolidated Municipal Election,3,20151103_3,2015-11-03T00:00:00,132262,65923,66339,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151103_3/summary.txt
2015-11-03,Consolidated Municipal Election,4,20151104,2015-11-04T00:00:00,140946,74607,66339,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151104/summary.txt
2015-11-03,Consolidated Municipal Election,5,20151105,2015-11-05T00:00:00,155675,89336,66339,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151105/summary.txt
2015-11-03,Consolidated Municipal Election,6,20151106,2015-11-06T00:00:00,172153,105814,66339,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151106/summary.txt
2015-11-03,Consolidated Municipal Election,7,20151107,2015-11-07T00:00:00,179713,113374,66339,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151107/summary.txt
2015-11-03,Consolidated Municipal Election,8,20151108,2015-11-08T00:00:00,181240,114901,66339,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151108/summary.txt
2015-11-03,Consolidated Municipal Election,9,20151109,2015-11-09T00:00:00,186863,120524,66339,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151109/summary.txt
2015-11-03,Consolidated Municipal Election,10,20151110,2015-11-10T00:00:00,195117,123956,71161,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151110/summary.txt
2015-11-03,Consolidated Municipal Election,11,20151111,2015-11-11T00:00:00,197264,124051,73213,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151111/summary.txt
2015-11-03,Consolidated Municipal Election,12,20151112,2015-11-12T00:00:00,202914,125720,77194,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151112/summary.txt
2015-11-03,Consolidated Municipal Election,13,20151113,2015-11-13T00:00:00,203069,125795,77274,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151113/summary.txt
2015-11-03,Consolidated Municipal Election,14,20151116,2015-11-16T00:00:00,203069,125795,77274,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151116/summary.txt
2015-11-03,Consolidated Municipal Election,15,20151119,2015-11-19T00:00:00,203069,125795,77274,446828,era_b_tsv,folder,https://www.sfelections.org/results/20151103/data/20151119/summary.txt
2016-06-07,Presidential Primary Election,1,20160607_1,2016-06-07T00:00:00,96478,96478,0,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160607_1/summary.txt
2016-06-07,Presidential Primary Election,2,20160607_2,2016-06-07T00:00:00,132242,96478,35764,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160607_2/summary.txt
2016-06-07,Presidential Primary Election,3,20160607_3,2016-06-07T00:00:00,184418,96478,87940,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160607_3/summary.txt
2016-06-07,Presidential Primary Election,4,20160607_4,2016-06-07T00:00:00,185698,96478,89220,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160607_4/summary.txt
2016-06-07,Presidential Primary Election,5,20160608,2016-06-08T00:00:00,193038,103818,89220,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160608/summary.txt
2016-06-07,Presidential Primary Election,6,20160609,2016-06-09T00:00:00,210509,121289,89220,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160609/summary.txt
2016-06-07,Presidential Primary Election,7,20160610,2016-06-10T00:00:00,225014,135794,89220,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160610/summary.txt
2016-06-07,Presidential Primary Election,8,20160611,2016-06-11T00:00:00,238960,149740,89220,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160611/summary.txt
2016-06-07,Presidential Primary Election,9,20160612,2016-06-12T00:00:00,241026,151806,89220,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160612/summary.txt
2016-06-07,Presidential Primary Election,10,20160613,2016-06-13T00:00:00,244141,154921,89220,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160613/summary.txt
2016-06-07,Presidential Primary Election,11,20160614,2016-06-14T00:00:00,246506,157286,89220,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160614/summary.txt
2016-06-07,Presidential Primary Election,12,20160615,2016-06-15T00:00:00,254160,157315,96845,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160615/summary.txt
2016-06-07,Presidential Primary Election,13,20160616,2016-06-16T00:00:00,256967,158957,98010,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160616/summary.txt
2016-06-07,Presidential Primary Election,14,20160617,2016-06-17T00:00:00,260107,159310,100797,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160617/summary.txt
2016-06-07,Presidential Primary Election,15,20160620,2016-06-20T00:00:00,264175,159784,104391,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160620/summary.txt
2016-06-07,Presidential Primary Election,16,20160621,2016-06-21T00:00:00,264993,159954,105039,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160621/summary.txt
2016-06-07,Presidential Primary Election,17,20160624,2016-06-24T00:00:00,264993,159954,105039,468238,era_b_tsv,folder,https://www.sfelections.org/results/20160607/data/20160624/summary.txt
2016-11-08,Consolidated General Election,1,20161108_1,2016-11-08T20:02:17,142307,142307,0,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161108_1/summary.txt
2016-11-08,Consolidated General Election,2,20161108_2,2016-11-08T21:44:48,195839,142307,53532,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161108_2/summary.txt
2016-11-08,Consolidated General Election,3,20161108_3,2016-11-08T22:47:05,273736,142307,131429,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161108_3/summary.txt
2016-11-08,Consolidated General Election,4,20161108_4,2016-11-09T00:01:46,274207,142307,131900,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161108_4/summary.txt
2016-11-08,Consolidated General Election,5,20161109,2016-11-09T15:59:55,277331,145434,131897,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161109/summary.txt
2016-11-08,Consolidated General Election,6,20161110,2016-11-10T16:01:57,283049,151149,131900,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161110/summary.txt
2016-11-08,Consolidated General Election,7,20161111,2016-11-11T15:40:19,286975,155075,131900,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161111/summary.txt
2016-11-08,Consolidated General Election,8,20161112,2016-11-12T16:12:41,296564,164664,131900,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161112/summary.txt
2016-11-08,Consolidated General Election,9,20161113,2016-11-13T16:09:41,312183,180283,131900,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161113/summary.txt
2016-11-08,Consolidated General Election,10,20161114,2016-11-14T15:58:30,324258,192358,131900,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161114/summary.txt
2016-11-08,Consolidated General Election,11,20161115,2016-11-15T16:06:42,340701,208801,131900,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161115/summary.txt
2016-11-08,Consolidated General Election,12,20161116,2016-11-16T15:57:09,357025,225125,131900,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161116/summary.txt
2016-11-08,Consolidated General Election,13,20161117,2016-11-17T16:29:02,374822,242922,131900,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161117/summary.txt
2016-11-08,Consolidated General Election,14,20161118,2016-11-18T16:14:28,385049,253149,131900,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161118/summary.txt
2016-11-08,Consolidated General Election,15,20161119,2016-11-19T15:57:07,393318,259857,133461,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161119/summary.txt
2016-11-08,Consolidated General Election,16,20161120,2016-11-20T15:54:24,396891,261326,135565,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161120/summary.txt
2016-11-08,Consolidated General Election,17,20161121,2016-11-21T16:00:43,406193,262889,143304,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161121/summary.txt
2016-11-08,Consolidated General Election,18,20161122,2016-11-22T17:37:38,414189,263052,151137,513573,era_b_tsv,header,https://www.sfelections.org/results/20161108/data/20161122/summary.txt
