election_date,election_name,final_ballots,n_reports,date_90pct,days_to_90pct,pct_on_election_night
2015-11-03,Consolidated Municipal Election,203069,15,2015-11-09,6,65.1
2016-06-07,Presidential Primary Election,264993,17,2016-06-11,4,70.1
2016-11-08,Consolidated General Election,414528,22,2016-11-17,9,66.1
2018-06-05,Consolidated Statewide Primary Election,253583,17,2018-06-11,6,60.8
2018-11-06,General Election,372848,19,2018-11-13,7,59.3
2019-11-05,Consolidated Municipal Election,206122,13,2019-11-08,3,55.9
2020-03-03,Presidential Primary Election,305184,14,2020-03-07,4,47.4
2020-11-03,Consolidated General Election,449866,17,2020-11-06,3,78.4
2021-09-14,California Gubernatorial Recall Election,341055,13,2021-09-17,3,78.7
2022-02-15,Consolidated Special Municipal Election,179981,8,2022-02-18,3,72.4
2022-04-19,Special General Election,78764,7,2022-04-21,2,78.7
2022-06-07,Consolidated Statewide Direct Primary Election,229229,11,2022-06-11,4,55.8
2022-11-08,Consolidated General Election,310071,16,2022-11-15,7,51.0
2024-03-05,Presidential Primary Election,233465,15,2024-03-09,4,44.9
2024-11-05,Consolidated General Election,412231,18,2024-11-11,6,56.9
2025-09-16,Special Recall Election,21542,4,2025-09-18,2,76.5
2025-11-04,Statewide Special Election,295232,7,2025-11-17,13,66.4
2026-06-02,Consolidated Statewide Direct Primary Election,271520,13,2026-06-09,7,46.1
