date,election_type,level,election_name,registration,registration_basis,total_turnout,total_turnout_class,turnout_pct,night_of_count,night_count_class,night_observed_at,night_pct_of_final,eday_turnout,vbm_turnout,registration_source,total_turnout_source,night_of_count_source,eday_turnout_source,vbm_turnout_source,sources_record_id
1849-11-13,General,statewide,Governor + Legislature + ratify 1849 Constitution,,,3119,single-contest floor (a lower bound on ballots cast),,,,,,,,,"Official state canvass as printed, Alta 1849-12-31",documented dead end: no day-after paper existed (the Alta was weekly),,,1849-11-13
1850-10-07,General,statewide,State officers + Legislature,,,3440,single-contest floor (a lower bound on ballots cast),,,,,,,,,"Official county canvass, Alta 1850-10-09 (top-contest sum)","documented dead end: E+1 Alta printed outcomes only, no count",,,1850-10-07
1851-09-03,Gubernatorial,statewide,Governor,,,5774,single-contest floor (a lower bound on ballots cast),,1129,lower bound (only part of the count could be extracted; the true night count is higher),1851-09-04T03:00:00,19.6,,,,"Official county canvass, Alta 1851-09-15 (top-contest sum)","Daily Alta California 1851-09-04 'ELECTION RETURNS.' (CDNC DAC18510904.2.6): 'up to two o'clock this morning, but little over a hundred votes had been counted in each ward' (7 city wards, ~700) + comp",,,1851-09-03
1852-11-02,Presidential,statewide,President,,,8692,single-contest floor (a lower bound on ballots cast),,6222,actual count as reported by the source,1852-11-03T03:00:00,71.6,,,,"Official county canvass, Alta 1852-11-11 (top-contest sum)","Daily Alta California 1852-11-03 'The Latest Election Returns.' (DAC18521103.2.8), 'as far as ascertained up to 4 A.M. this morning': W2 1,216, W4 792 complete, W5 1,048, W6 984, W7 784, W8 165 straig",,,1852-11-02
1853-09-07,Gubernatorial,statewide,Governor,,,10955,single-contest floor (a lower bound on ballots cast),,2670,actual count as reported by the source,1853-09-08T03:00:00,24.4,,,,Official state canvass via Whig Almanac 1854 p.64 (top-contest sum),"Daily Alta California 1853-09-08 'Election Returns' (DAC18530908.2.15), per-ward clocked counts: W2 43 at 12, W3 618 at 1 AM, W4 ~41, W5 652 at 2 AM, W6 610 at 1:30, W7 706 at 1 AM",,,1853-09-07
1854-09-06,General,statewide,Congress-at-large + Legislature,,,9949,single-contest floor (a lower bound on ballots cast),,2717,lower bound (only part of the count could be extracted; the true night count is higher),1854-09-07T03:00:00,27.3,,,,"SoS certified canvass via Sacramento Daily Union 1854-11-07, single-seat contest floor",Daily Alta California 1854-09-07 'ELECTION RETURNS.' (DAC18540907.2.5): 'votes counted up to 12 o'clock last night ... in several Wards there were no votes counted at all. The ballot boxes were sealed,,,1854-09-06
1855-09-05,Gubernatorial,statewide,Governor,,,12351,single-contest floor (a lower bound on ballots cast),,2726,lower bound (only part of the count could be extracted; the true night count is higher),1855-09-06T03:00:00,22.1,,,,Official state canvass via Tribune Almanac 1856 p.57 (top-contest sum),Daily Alta California 1855-09-06 'Further from the different Wards.' (DAC18550906.2.9): W1 100 straight Dem then sealed,,,1855-09-05
1856-11-04,Presidential + Municipal,both,President; Mayor (Burr) + city offices — 1st under Consolidation Act,,,12019,single-contest floor (a lower bound on ballots cast),,3947,lower bound (only part of the count could be extracted; the true night count is higher),1856-11-05T03:00:00,32.8,,,,"Official state canvass via Tribune Almanac (operator ruling over county variant 11,904)","Sacramento Daily Union 1856-11-05 (SDU18561105.2.8), SF telegraph dispatch 'San Francisco, Nov. 5",,,1856-11-04
1857-09-02,Gubernatorial,statewide,"Governor + city offices (same day; the index's separate Sept 4 city election was a date error, corrected 2026-07-08)",,,10326,single-contest floor (a lower bound on ballots cast),,5866,actual count as reported by the source,1857-09-03T03:00:00,56.8,,,,"Official canvass, almanac + Alta agreeing (top-contest sum)","Daily Alta California 1857-09-03 'RETURNS OF THE ELECTION...' (DAC18570903.2.15), 'Returns from the City Polls up to Midnight' straight-ticket table OPERATOR-TRANSCRIBED 2026-07-09: Dem 2,862 + Rep 2,",,,1857-09-02
1858-09-01,General,statewide,Legislature + Controller,,,8584,single-contest floor (a lower bound on ballots cast),,1655,lower bound (only part of the count could be extracted; the true night count is higher),1858-09-02T03:00:00,19.3,,,,"Official county canvass, Alta 1858-09-16 (top-contest sum)","Daily Alta California 1858-09-02 'CITY ITEMS' 1 O'CLOCK A.M. section (DAC18580902.2.20): D1 100, D2 state ticket Currey 564 + Baldwin 400 = 964",,,1858-09-01
