election_date,kind,sample_date,eligible,registered_cor,registered_ror,e_day,vbm,total,eligible_source,registered_cor_source,registered_ror_source,e_day_source,vbm_source,confidence
1899-12-02,Special,,,70726,,,,,,SF Dept. of Elections historical turnout table (1899–2019),,,,
1902-12-02,Special,,,70764,,,,,,SF Dept. of Elections historical turnout table (1899–2019),,,,
1903-09-29,Special,,,73540,,,,,,SF Dept. of Elections historical turnout table (1899–2019),,,,
1903-10-08,Special,,,73702,,,,,,SF Dept. of Elections historical turnout table (1899–2019),,,,
1908-11-03,General,,,75467,,,,,,archival recovery (per-release; see sources.json),,,,
1912-11-05,General,,,134688,,,,,,archival recovery (per-release; see sources.json),,,,
1914-11-03,General,,,161846,,,,,,archival recovery (per-release; see sources.json),,,,
1916-11-07,General,,,184819,,,,,,archival recovery (per-release; see sources.json),,,,
1918-11-05,General,,,175109,,,,,,SF Dept. of Elections historical turnout table (1899–2019),,,,
1920-11-02,General,,,210024,,,,,,archival recovery (per-release; see sources.json),,,,
1922-11-07,General,,,201563,,,,,,archival recovery (per-release; see sources.json),,,,
1924-11-04,General,,,219434,,,,,,archival recovery (per-release; see sources.json),,,,
1926-11-02,General,,,222799,,,,,,archival recovery (per-release; see sources.json),,,,
1928-11-06,General,,,253053,,,,,,archival recovery (per-release; see sources.json),,,,
1930-11-04,General,,,228582,,,,,,archival recovery (per-release; see sources.json),,,,
1932-11-08,General,,,273487,,,,,,archival recovery (per-release; see sources.json),,,,
1934-11-06,General,,,290683,,,,,,SF Dept. of Elections historical turnout table (1899–2019),,,,
1936-11-03,General,,,314990,,,,,,archival recovery (per-release; see sources.json),,,,
1938-11-08,General,,,340739,,,,,,archival recovery (per-release; see sources.json),,,,
1940-11-05,General,,,383845,,,,,,archival recovery (per-release; see sources.json),,,,
1942-11-03,General,,,367352,,,,,,archival recovery (per-release; see sources.json),,,,
1944-11-07,General,,,405921,,,,,,SF Dept. of Elections historical turnout table (1899–2019),,,,
1946-11-05,General,,,430114,,,,,,archival recovery (per-release; see sources.json),,,,
1948-11-02,General,,,459769,,,,,,archival recovery (per-release; see sources.json),,,,
1950-11-07,General,,,429864,,,,,,archival recovery (per-release; see sources.json),,,,
1952-11-04,General,,,431959,,,,,,archival recovery (per-release; see sources.json),,,,
1954-11-02,General,,,401900,,,,,,archival recovery (per-release; see sources.json),,,,
1956-11-06,General,,,397385,,,,,,archival recovery (per-release; see sources.json),,,,
1960-11-08,General,,,404613,,,,,,archival recovery (per-release; see sources.json),,,,
