election_date,registration,ballots_cast,pct_turnout,precinct,mail
1899-12-02,70726,22331,31.57%,n/a,n/a
1902-12-02,70764,26612,37.61%,n/a,n/a
1903-09-29,73540,27308,37.13%,n/a,n/a
1903-10-08,73702,25275,34.29%,n/a,n/a
1908-11-03,75467,41137,54.51%,n/a,n/a
1910-11-01,n/a,59724,n/a,n/a,n/a
1912-11-05,134688,105646,78.44%,n/a,n/a
1914-11-03,161846,134492,83.10%,n/a,n/a
1916-11-07,184819,155747,84.27%,n/a,n/a
1918-11-05,175109,103011,58.83%,n/a,n/a
1920-11-02,210024,154592,73.61%,n/a,n/a
1922-11-07,201563,134503,66.73%,n/a,n/a
1924-11-04,219434,159649,72.75%,n/a,n/a
1926-11-02,222799,130835,58.72%,n/a,n/a
1928-11-06,253053,199665,78.91%,n/a,n/a
1930-11-04,228582,158629,69.40%,n/a,n/a
1932-11-08,273487,227283,83.12%,n/a,n/a
1934-11-06,290683,166133,57.15%,n/a,n/a
1936-11-03,314990,269387,85.52%,n/a,n/a
1938-11-08,340739,257597,75.60%,n/a,n/a
1940-11-05,383845,315518,82.20%,n/a,n/a
1942-11-03,367352,230129,62.65%,n/a,n/a
1944-11-07,405921,352409,86.82%,n/a,n/a
1946-11-05,430114,270457,62.88%,n/a,n/a
1948-11-02,459769,359134,78.11%,n/a,n/a
1950-11-07,429864,312137,72.61%,n/a,n/a
1952-11-04,431959,365972,84.72%,n/a,n/a
1954-11-02,401900,277602,69.07%,n/a,n/a
1956-11-06,397385,342652,86.23%,n/a,n/a
1960-11-08,404613,348290,86.08%,n/a,n/a
1964-11-03,389990,331612,85.03%,313134,18478
1968-11-05,374335,307012,82.02%,287514,19498
1972-06-06,368357,234840,63.75%,218176,16664
1972-11-07,426338,316803,74.31%,289010,27793
1973-11-06,337065,202237,60.00%,190080,12157
1974-06-04,350380,198508,56.66%,184369,14139
1974-11-05,369005,228586,61.95%,213114,15472
1975-11-04,296505,215559,72.70%,206167,9392
1975-12-11,302344,200804,66.42%,190741,10063
1976-06-08,311254,208884,67.11%,191684,17200
1976-11-02,345954,252932,73.11%,231144,21788
1977-08-02,336046,178367,53.08%,161622,16745
1977-11-08,339306,175582,51.75%,162209,13373
1978-06-06,350856,203931,58.12%,185959,17972
1978-11-07,380749,217965,57.25%,197263,20702
1979-11-06,372061,204869,55.06%,190396,14473
1979-12-11,378232,196341,51.91%,178347,17994
1980-06-03,403382,206366,51.16%,191196,15170
1980-08-19,404035,140551,34.79%,119566,20985
1980-11-04,407982,268070,65.71%,237013,31057
1981-11-03,395213,99658,25.22%,88783,10875
1982-06-08,344483,176381,51.20%,156646,19735
1982-11-02,377069,238991,63.38%,211195,27796
1983-04-26,354104,167267,47.24%,107973,59294
1983-11-08,371005,170628,45.99%,141198,29430
1984-06-05,375799,180741,48.10%,151013,29728
1984-11-06,424091,298517,70.39%,253931,44586
1985-11-05,399422,107920,27.02%,84547,23373
1986-06-03,369468,146480,39.65%,125143,21337
1986-11-04,385847,236863,61.39%,202055,34808
1987-04-07,280811,111523,39.71%,80547,30976
1987-06-02,363356,93010,25.60%,57889,35121
1987-11-03,378546,193742,51.18%,156480,37262
1987-12-08,380852,153720,40.36%,113400,40320
1988-06-07,383675,185420,48.33%,156474,28946
1988-11-08,435536,292097,67.07%,208546,83551
1989-11-07,405536,181862,44.84%,144657,37205
1990-06-05,389552,161989,41.58%,122026,39963
1990-11-06,409163,236413,57.78%,181425,54988
1991-11-05,421919,200875,47.61%,156090,44785
1991-12-10,425316,215751,50.73%,143839,71912
1992-06-02,432838,182577,42.18%,143468,39109
1992-11-03,477726,329695,69.01%,255071,74624
1993-06-15,421635,84786,20.11%,50131,34655
1993-11-02,425034,158146,37.21%,113377,44769
1994-06-07,422776,135495,32.05%,98564,36931
1994-11-08,450649,249669,55.40%,175502,74167
1995-11-07,417883,216735,51.86%,152017,64718
1995-12-12,425969,198326,46.56%,130573,67753
1996-03-26,440254,178165,40.47%,126643,51522
1996-11-05,481902,298648,61.97%,223339,75309
1997-06-03,411230,178948,43.52%,129156,49792
1997-11-04,413355,125697,30.41%,87352,38345
1998-06-02,430794,199157,46.23%,137812,61345
1998-11-03,448888,250719,55.85%,183839,66880
1999-11-02,453151,203674,44.95%,151447,52227
1999-12-14,467295,228247,48.84%,154357,73890
2000-03-07,468198,210229,44.90%,155955,54274
2000-11-07,486636,324031,66.59%,241234,82797
2000-12-12,398234,129629,32.55%,81670,47959
2001-11-06,452543,134024,29.62%,96876,37148
2001-12-10,453961,75267,16.58%,44294,30973
2002-03-05,440016,150249,34.15%,98669,51580
2002-11-05,449508,225102,50.08%,159645,65457
2002-12-10,93537,35897,38.38%,19079,16818
2003-10-07,454929,269143,59.16%,187647,81496
2003-11-04,459213,209723,45.67%,140010,69713
2003-12-09,466127,253872,54.46%,162673,91199
2004-03-02,448948,190828,42.51%,120104,70724
2004-11-02,486937,361822,74.31%,226354,135468
2005-11-08,428481,229714,53.61%,136897,92817
2006-06-06,421094,156272,37.11%,81132,75140
2006-11-07,418285,253719,60.66%,145371,108348
2007-11-06,419598,149465,35.62%,71276,78189
2008-02-05,415761,269212,64.75%,158995,110217
2008-04-08,79340,19742,24.88%,5332,14410
2008-06-03,430259,173035,40.22%,83441,89594
2008-11-04,477651,388112,81.25%,209527,178585
2009-05-19,465428,130644,28.07%,46920,83724
2009-11-03,451988,102061,22.58%,32464,69597
2010-06-08,447985,155533,34.72%,63607,91926
2010-11-02,466414,284625,61.02%,141319,143306
2011-11-08,464380,197242,42.47%,84269,112973
2012-06-05,470668,145105,30.83%,49779,95326
2012-11-06,502841,364875,72.56%,171679,193196
2013-11-05,440037,128937,29.30%,43534,85403
2014-06-03,435757,129399,29.70%,39406,89993
2014-11-04,436019,231214,53.03%,94995,136219
2015-11-03,446828,203069,45.45%,77274,125795
2016-06-07,468238,264993,56.59%,105039,159954
2016-11-08,513573,414528,80.71%,151437,263091
2018-06-05,481991,253583,52.61%,89756,163827
2018-11-06,500516,372848,74.49%,127886,244962
2019-11-05,495050,206122,41.64%,59428,146694
